都道府県,市区町村,区,昼間人口
徳島県,吉野川市,null,40367
茨城県,鉾田市,null,45478
茨城県,北茨城市,null,43099
埼玉県,加須市,null,104242
埼玉県,さいたま市,北区,127046
福島県,飯舘村,null,5628
大阪府,高石市,null,54572
福岡県,小竹町,null,7796
大阪府,大阪市,住吉区,142489
福島県,古殿町,null,5459
和歌山県,由良町,null,5957
群馬県,板倉町,null,14214
福岡県,東峰村,null,2226
岐阜県,御嵩町,null,17029
福岡県,みやこ町,null,19739
大阪府,松原市,null,112696
大阪府,泉大津市,null,70946
栃木県,壬生町,null,35817
岐阜県,坂祝町,null,7649
愛知県,瀬戸市,null,119546
鳥取県,智頭町,null,7059
鹿児島県,姶良市,null,67611
岐阜県,瑞浪市,null,36938
大阪府,大阪市,城東区,149853
宮崎県,国富町,null,19123
茨城県,茨城町,null,31184
香川県,綾川町,null,22521
福岡県,うきは市,null,28586
愛知県,春日井市,null,279399
岐阜県,富加町,null,4983
長野県,千曲市,null,56746
宮城県,塩竈市,null,51027
佐賀県,神埼市,null,30072
青森県,五戸町,null,16902
静岡県,藤枝市,null,129928
兵庫県,三田市,null,103098
熊本県,相良村,null,4509
青森県,平川市,null,30459
秋田県,上小阿仁村,null,2492
愛媛県,伊予市,null,34295
長崎県,川棚町,null,13388
佐賀県,太良町,null,8876
神奈川県,山北町,null,10749
青森県,六戸町,null,9235
東京都,青梅市,null,127303
高知県,安田町,null,2678
山形県,上山市,null,30910
佐賀県,みやき町,null,23600
岩手県,陸前高田市,null,21284
宮崎県,綾町,null,6513
高知県,中土佐町,null,6927
北海道,北斗市,null,43300
福岡県,行橋市,null,64358
新潟県,五泉市,null,49147
宮崎県,五ヶ瀬町,null,4042
兵庫県,明石市,null,262138
鳥取県,江府町,null,3085
鹿児島県,大和村,null,1590
宮城県,仙台市,泉区,192794
山梨県,山梨市,null,33171
宮崎県,都農町,null,10167
福島県,伊達市,null,59446
神奈川県,横須賀市,null,381727
宮城県,松島町,null,13578
宮城県,多賀城市,null,57531
北海道,当麻町,null,6376
岩手県,山田町,null,16983
茨城県,桜川市,null,41087
京都府,与謝野町,null,21395
宮崎県,高原町,null,8993
愛知県,北名古屋市,null,74409
鳥取県,三朝町,null,6308
福島県,川内村,null,2572
群馬県,みどり市,null,46666
大阪府,柏原市,null,68195
愛知県,名古屋市,天白区,142765
徳島県,阿波市,null,35792
山形県,飯豊町,null,7141
熊本県,水上村,null,2193
岐阜県,八百津町,null,10828
北海道,積丹町,null,2293
福島県,下郷町,null,5808
青森県,鶴田町,null,13000
埼玉県,鳩山町,null,13758
北海道,札幌市,厚別区,117056
高知県,黒潮町,null,11115
福島県,浪江町,null,19041
岡山県,浅口市,null,32458
兵庫県,伊丹市,null,178488
山梨県,甲州市,null,30491
東京都,町田市,null,388575
千葉県,柏市,null,362941
山形県,最上町,null,8959
秋田県,井川町,null,4934
滋賀県,守山市,null,69654
大阪府,大阪市,東住吉区,117409
佐賀県,白石町,null,23294
宮城県,川崎町,null,8961
千葉県,習志野市,null,149629
宮城県,色麻町,null,6673
茨城県,石岡市,null,72466
東京都,檜原村,null,2297
和歌山県,印南町,null,7824
愛知県,美浜町,null,22607
山梨県,富士川町,null,14817
北海道,札幌市,西区,189655
大阪府,岸和田市,null,181016
北海道,札幌市,豊平区,190442
神奈川県,川崎市,中原区,212534
福岡県,嘉麻市,null,38235
滋賀県,甲良町,null,6813
山梨県,大月市,null,25239
和歌山県,紀の川市,null,59781
静岡県,浜松市,西区,101988
宮城県,大郷町,null,8103
福島県,田村市,null,36270
千葉県,香取市,null,75209
長野県,立科町,null,6913
石川県,かほく市,null,31447
宮崎県,門川町,null,16906
栃木県,下野市,null,53976
福岡県,福岡市,城南区,115358
青森県,東北町,null,17337
群馬県,邑楽町,null,24229
岡山県,岡山市,中区,129061
山形県,鮭川村,null,4359
長崎県,佐々町,null,12339
岩手県,大槌町,null,13695
静岡県,河津町,null,7256
愛知県,名古屋市,中川区,198556
滋賀県,近江八幡市,null,74153
福岡県,北九州市,小倉南区,192448
福井県,勝山市,null,23099
福島県,桑折町,null,11515
青森県,蓬田村,null,2928
長野県,野沢温泉村,null,3395
福岡県,福岡市,早良区,189366
秋田県,八峰町,null,7241
福岡県,福岡市,西区,172935
奈良県,葛城市,null,31582
千葉県,南房総市,null,37664
高知県,香南市,null,29794
滋賀県,米原市,null,35833
愛媛県,砥部町,null,19354
熊本県,合志市,null,49182
千葉県,いすみ市,null,36062
奈良県,田原本町,null,28720
山形県,真室川町,null,8068
東京都,三鷹市,null,166284
熊本県,美里町,null,10023
福島県,新地町,null,7348
東京都,日野市,null,158452
東京都,昭島市,null,100273
奈良県,山添村,null,3614
大阪府,豊中市,null,347467
群馬県,南牧村,null,2132
愛知県,名古屋市,北区,147953
福岡県,福岡市,南区,217392
福岡県,遠賀町,null,17097
大阪府,大阪狭山市,null,51227
高知県,佐川町,null,12447
福岡県,川崎町,null,16057
岩手県,普代村,null,2754
福島県,天栄村,null,5530
北海道,乙部町,null,3931
愛知県,阿久比町,null,22384
青森県,平内町,null,11022
香川県,三木町,null,25019
兵庫県,西宮市,null,430285
和歌山県,広川町,null,6780
長野県,飯島町,null,8826
京都府,宇治市,null,166555
京都府,京都市,山科区,121223
奈良県,河合町,null,16276
広島県,広島市,安佐南区,208242
大阪府,枚方市,null,358077
北海道,比布町,null,3600
富山県,上市町,null,19275
東京都,足立区,null,608632
長野県,山ノ内町,null,12002
福井県,坂井市,null,81813
熊本県,湯前町,null,3838
福岡県,芦屋町,null,13681
宮城県,美里町,null,22097
埼玉県,毛呂山町,null,34759
栃木県,茂木町,null,13173
北海道,江別市,null,110114
福島県,平田村,null,6070
高知県,津野町,null,5702
山口県,田布施町,null,14017
茨城県,八千代町,null,20562
岡山県,新庄村,null,839
福島県,中島村,null,4585
東京都,調布市,null,195986
新潟県,阿賀野市,null,40514
大阪府,富田林市,null,104806
大阪府,貝塚市,null,80467
北海道,札幌市,南区,128223
福岡県,上毛町,null,6980
神奈川県,南足柄市,null,38545
奈良県,下市町,null,6239
奈良県,桜井市,null,52649
奈良県,大淀町,null,17041
千葉県,千葉市,若葉区,132661
茨城県,笠間市,null,70549
福井県,永平寺町,null,18069
山形県,高畠町,null,22232
岐阜県,垂井町,null,24945
神奈川県,清川村,null,3072
埼玉県,越生町,null,10971
東京都,小平市,null,166106
徳島県,石井町,null,22709
山形県,大江町,null,8192
徳島県,東みよし町,null,13156
北海道,鷹栖町,null,6521
京都府,井手町,null,7385
熊本県,宇土市,null,33492
大阪府,藤井寺市,null,57820
鳥取県,北栄町,null,13708
福岡県,築上町,null,17078
新潟県,出雲崎町,null,4354
東京都,杉並区,null,480172
埼玉県,飯能市,null,74107
大阪府,寝屋川市,null,208014
大阪府,大阪市,鶴見区,98541
群馬県,高山村,null,3415
沖縄県,豊見城市,null,50740
神奈川県,相模原市,緑区,153830
福島県,柳津町,null,3552
岩手県,洋野町,null,15636
青森県,板柳町,null,13491
福岡県,筑紫野市,null,87418
山梨県,市川三郷町,null,15153
埼玉県,杉戸町,null,40948
三重県,木曽岬町,null,6070
茨城県,つくばみらい市,null,38797
秋田県,羽後町,null,14866
岡山県,西粟倉村,null,1326
埼玉県,行田市,null,75919
神奈川県,大和市,null,199057
大分県,日出町,null,24972
富山県,入善町,null,23697
栃木県,那珂川町,null,16317
奈良県,曽爾村,null,1652
北海道,歌志内市,null,3880
長崎県,東彼杵町,null,7760
熊本県,御船町,null,15820
新潟県,新潟市,秋葉区,67388
兵庫県,多可町,null,20430
島根県,東出雲町,null,12506
埼玉県,寄居町,null,31623
長野県,木島平村,null,4302
広島県,廿日市市,null,100785
新潟県,見附市,null,36454
岩手県,平泉町,null,7373
埼玉県,ときがわ町,null,10813
岡山県,美咲町,null,13811
千葉県,山武市,null,48837
兵庫県,加古川市,null,235670
岐阜県,多治見市,null,97967
徳島県,北島町,null,19120
神奈川県,横浜市,戸塚区,238630
長野県,高森町,null,11667
愛知県,名古屋市,名東区,139999
熊本県,荒尾市,null,48819
愛媛県,松野町,null,3804
京都府,大山崎町,null,13336
埼玉県,久喜市,null,134085
千葉県,一宮町,null,10611
愛知県,名古屋市,守山区,146456
山形県,白鷹町,null,13498
愛知県,一宮市,null,328856
広島県,広島市,東区,106431
秋田県,美郷町,null,18816
福岡県,吉富町,null,5894
茨城県,取手市,null,93651
埼玉県,長瀞町,null,6861
三重県,紀宝町,null,10160
秋田県,三種町,null,16376
新潟県,弥彦村,null,7328
福岡県,福智町,null,21438
富山県,朝日町,null,11654
東京都,あきる野市,null,70137
千葉県,九十九里町,null,15368
青森県,おいらせ町,null,20992
沖縄県,読谷村,null,32604
兵庫県,神戸市,須磨区,145155
岩手県,野田村,null,3953
埼玉県,越谷市,null,282810
岐阜県,海津市,null,32372
千葉県,八千代市,null,164464
福島県,国見町,null,8600
高知県,いの町,null,21716
青森県,南部町,null,16926
奈良県,御杖村,null,1821
山梨県,南部町,null,7681
埼玉県,入間市,null,129827
山形県,庄内町,null,19739
福岡県,みやま市,null,35258
福岡県,大野城市,null,81043
北海道,七飯町,null,24632
奈良県,王寺町,null,18904
山形県,西川町,null,5426
北海道,南幌町,null,7480
大阪府,高槻市,null,309233
茨城県,潮来市,null,26002
千葉県,横芝光町,null,21340
埼玉県,蕨市,null,60874
鳥取県,大山町,null,15124
大阪府,堺市,南区,131746
宮城県,丸森町,null,13402
岐阜県,神戸町,null,17070
埼玉県,所沢市,null,295595
岐阜県,養老町,null,26653
北海道,登別市,null,44543
福島県,浅川町,null,5856
新潟県,関川村,null,5564
東京都,葛飾区,null,376235
岩手県,滝沢村,null,46540
岡山県,赤磐市,null,36907
東京都,小金井市,null,102683
石川県,中能登町,null,15735
群馬県,玉村町,null,32420
山形県,朝日町,null,6667
茨城県,龍ケ崎市,null,69377
北海道,東神楽町,null,7885
愛知県,武豊町,null,36623
秋田県,藤里町,null,3265
埼玉県,上里町,null,26769
埼玉県,和光市,null,68447
広島県,広島市,安佐北区,129193
千葉県,神崎町,null,5471
三重県,明和町,null,19710
奈良県,大和高田市,null,58020
鳥取県,若桜町,null,3342
神奈川県,秦野市,null,144099
福井県,池田町,null,2628
山形県,戸沢村,null,4488
東京都,福生市,null,51582
大阪府,堺市,北区,132465
茨城県,かすみがうら市,null,37562
山形県,舟形町,null,5212
長野県,下條村,null,3622
宮城県,山元町,null,14121
福岡県,中間市,null,38114
大阪府,四條畷市,null,48640
千葉県,鋸南町,null,7715
埼玉県,幸手市,null,45639
兵庫県,市川町,null,11453
鳥取県,岩美町,null,10444
埼玉県,新座市,null,136828
山形県,金山町,null,5377
兵庫県,播磨町,null,28586
岐阜県,池田町,null,21102
石川県,宝達志水町,null,12299
埼玉県,桶川市,null,63112
埼玉県,さいたま市,西区,72380
栃木県,岩舟町,null,15403
三重県,名張市,null,69085
愛知県,知立市,null,57744
香川県,まんのう町,null,16423
愛知県,江南市,null,84170
長野県,麻績村,null,2555
福岡県,大任町,null,4641
富山県,氷見市,null,44493
宮城県,利府町,null,28663
福岡県,志免町,null,37461
徳島県,上板町,null,10727
千葉県,御宿町,null,6651
千葉県,船橋市,null,512841
栃木県,市貝町,null,10393
茨城県,牛久市,null,68771
北海道,音更町,null,38741
佐賀県,小城市,null,37995
大阪府,箕面市,null,111608
福岡県,大刀洗町,null,12865
青森県,藤崎町,null,13761
埼玉県,さいたま市,桜区,81552
岐阜県,山県市,null,25442
埼玉県,朝霞市,null,109103
福岡県,須恵町,null,22356
和歌山県,橋本市,null,55808
長野県,長和町,null,5819
東京都,江戸川区,null,570877
大阪府,和泉市,null,158734
大阪府,千早赤阪村,null,5056
大阪府,能勢町,null,9996
沖縄県,八重瀬町,null,22415
京都府,亀岡市,null,79270
愛知県,東浦町,null,41836
岐阜県,羽島市,null,57563
神奈川県,横浜市,保土ケ谷区,173514
大阪府,羽曳野市,null,100801
京都府,八幡市,null,62301
埼玉県,三郷市,null,112541
京都府,和束町,null,3761
兵庫県,神河町,null,10524
山形県,遊佐町,null,12988
神奈川県,湯河原町,null,22986
埼玉県,上尾市,null,187765
三重県,菰野町,null,34216
奈良県,宇陀市,null,28694
福島県,鮫川村,null,3413
千葉県,印西市,null,73910
福島県,三春町,null,15557
徳島県,佐那河内村,null,2169
埼玉県,草加市,null,208533
和歌山県,太地町,null,2723
茨城県,那珂市,null,46377
広島県,広島市,安芸区,65997
沖縄県,中城村,null,15113
鳥取県,南部町,null,9662
北海道,幕別町,null,22691
神奈川県,横浜市,磯子区,136711
宮城県,仙台市,太白区,184725
和歌山県,美浜町,null,6599
北海道,札幌市,清田区,97650
千葉県,市川市,null,387101
埼玉県,川口市,null,419080
東京都,東村山市,null,125378
沖縄県,南城市,null,33244
福井県,越前町,null,18891
東京都,国分寺市,null,100798
神奈川県,座間市,null,105453
千葉県,富里市,null,42672
千葉県,松戸市,null,394622
長野県,泰阜村,null,1595
京都府,京都市,西京区,124573
長野県,喬木村,null,5588
茨城県,守谷市,null,50861
岐阜県,川辺町,null,8838
千葉県,白井市,null,49114
熊本県,氷川町,null,10608
福岡県,桂川町,null,11269
奈良県,明日香村,null,4885
秋田県,潟上市,null,27996
東京都,清瀬市,null,61802
山梨県,道志村,null,1559
山形県,大蔵村,null,3136
福岡県,篠栗町,null,25415
岩手県,紫波町,null,27748
長野県,木祖村,null,2543
広島県,広島市,佐伯区,112754
神奈川県,逗子市,null,47297
長野県,小川村,null,2532
長野県,北相木村,null,683
栃木県,益子町,null,20272
長野県,中川村,null,4113
兵庫県,太子町,null,27833
鳥取県,八頭町,null,14934
山形県,大石田町,null,6792
福島県,大玉村,null,6947
青森県,大鰐町,null,9137
福岡県,福津市,null,44910
長野県,生坂村,null,1625
長野県,青木村,null,3734
埼玉県,ふじみ野市,null,87939
福島県,葛尾村,null,1240
茨城県,常陸太田市,null,46778
千葉県,我孫子市,null,108510
神奈川県,三浦市,null,40199
福岡県,筑前町,null,23591
福岡県,宇美町,null,32079
長野県,佐久穂町,null,9765
群馬県,甘楽町,null,11319
鳥取県,湯梨浜町,null,13778
長野県,小布施町,null,9199
京都府,城陽市,null,64737
徳島県,藍住町,null,27690
千葉県,佐倉市,null,139203
神奈川県,川崎市,高津区,180525
埼玉県,さいたま市,見沼区,127007
千葉県,睦沢町,null,6092
奈良県,香芝市,null,60791
福岡県,水巻町,null,24913
富山県,立山町,null,22194
神奈川県,相模原市,南区,227601
奈良県,広陵町,null,26698
栃木県,高根沢町,null,25236
秋田県,東成瀬村,null,2318
愛知県,尾張旭市,null,67274
埼玉県,蓮田市,null,51078
宮城県,亘理町,null,28880
宮崎県,三股町,null,20006
千葉県,白子町,null,10067
和歌山県,九度山町,null,4003
熊本県,津奈木町,null,4192
愛知県,蟹江町,null,29589
福岡県,那珂川町,null,41198
千葉県,長生村,null,11895
北海道,札幌市,手稲区,115568
熊本県,玉東町,null,4478
栃木県,塩谷町,null,10392
兵庫県,宝塚市,null,181755
岐阜県,七宗町,null,3706
埼玉県,宮代町,null,27080
福岡県,小郡市,null,48346
静岡県,函南町,null,31032
福岡県,宗像市,null,78895
千葉県,千葉市,緑区,98063
神奈川県,横浜市,緑区,146647
福岡県,糸島市,null,79125
宮城県,東松島市,null,35411
神奈川県,川崎市,麻生区,136513
福岡県,添田町,null,9003
栃木県,野木町,null,20659
長野県,山形村,null,6949
青森県,田舎館村,null,6545
埼玉県,吉見町,null,17384
和歌山県,岩出市,null,42449
熊本県,球磨村,null,3502
東京都,東久留米市,null,93335
鳥取県,伯耆町,null,9564
兵庫県,芦屋市,null,74668
愛知県,一色町,null,19595
愛知県,名古屋市,緑区,183752
大阪府,岬町,null,14392
三重県,東員町,null,20537
長野県,朝日村,null,3898
東京都,西東京市,null,157250
長野県,原村,null,6223
岐阜県,大野町,null,19090
大阪府,河内長野市,null,92434
愛知県,扶桑町,null,26843
福岡県,赤村,null,2671
群馬県,榛東村,null,11494
神奈川県,横浜市,瀬谷区,104258
埼玉県,鴻巣市,null,95694
東京都,練馬区,null,588243
青森県,風間浦村,null,1970
秋田県,八郎潟町,null,5439
千葉県,四街道市,null,69347
愛知県,あま市,null,71148
長野県,南相木村,null,896
京都府,笠置町,null,1334
兵庫県,川西市,null,125023
長野県,豊丘村,null,5594
大阪府,堺市,東区,68218
埼玉県,春日部市,null,194419
愛知県,東郷町,null,33344
埼玉県,横瀬町,null,7409
岐阜県,北方町,null,14653
埼玉県,吉川市,null,53513
京都府,南山城村,null,2451
神奈川県,川崎市,多摩区,175230
神奈川県,茅ヶ崎市,null,187115
岐阜県,瑞穂市,null,42490
愛知県,愛西市,null,51717
福島県,会津美里町,null,18586
東京都,稲城市,null,67517
兵庫県,神戸市,北区,185388
千葉県,八街市,null,58263
福岡県,大木町,null,11725
埼玉県,さいたま市,緑区,87596
東京都,東大和市,null,65959
神奈川県,二宮町,null,21907
山梨県,甲斐市,null,58599
神奈川県,真鶴町,null,6008
埼玉県,北本市,null,54674
青森県,階上町,null,10749
広島県,熊野町,null,19469
山梨県,西桂町,null,3295
京都府,木津川市,null,55326
埼玉県,富士見市,null,77311
群馬県,吉岡町,null,15701
奈良県,平群町,null,14287
大阪府,熊取町,null,35728
山形県,中山町,null,8689
千葉県,東庄町,null,11983
茨城県,利根町,null,12238
福岡県,岡垣町,null,25350
千葉県,栄町,null,15632
千葉県,千葉市,花見川区,142802
大阪府,豊能町,null,14471
埼玉県,小川町,null,25973
宮城県,七ヶ浜町,null,13278
福島県,湯川村,null,2653
茨城県,河内町,null,8022
長野県,飯綱町,null,9356
神奈川県,横浜市,旭区,197891
奈良県,三郷町,null,18467
神奈川県,横浜市,南区,154387
奈良県,安堵町,null,6240
埼玉県,鶴ヶ島市,null,55072
大阪府,交野市,null,61052
長野県,筑北村,null,4062
神奈川県,横浜市,港南区,173691
愛知県,岩倉市,null,37115
埼玉県,志木市,null,54519
京都府,向日市,null,42533
埼玉県,松伏町,null,24362
愛知県,幡豆町,null,9638
愛知県,知多市,null,66121
奈良県,上牧町,null,18500
神奈川県,横浜市,泉区,121197
兵庫県,神戸市,垂水区,171422
神奈川県,横浜市,栄区,97103
茨城県,城里町,null,16708
福岡県,糸田町,null,7470
神奈川県,大磯町,null,25579
奈良県,斑鳩町,null,21454
和歌山県,日高町,null,5737
神奈川県,横浜市,青葉区,234794
奈良県,生駒市,null,91066
大阪府,太子町,null,10959
福岡県,春日市,null,82226
埼玉県,白岡町,null,38707
大阪府,阪南市,null,43460
宮城県,富谷町,null,36088
熊本県,山江村,null,2822
京都府,精華町,null,27312
埼玉県,東秩父村,null,2559
奈良県,三宅町,null,5686
石川県,津幡町,null,28226
長野県,高山村,null,5775
愛知県,大治町,null,22786
大阪府,島本町,null,22053
千葉県,鎌ケ谷市,null,82033
富山県,舟橋村,null,2254
千葉県,酒々井町,null,16118
三重県,度会町,null,6592
埼玉県,鳩ヶ谷市,null,46033
埼玉県,さいたま市,南区,132091
兵庫県,猪名川町,null,23948
福井県,南越前町,null,8708
新潟県,田上町,null,9624
長野県,松川村,null,7579
神奈川県,葉山町,null,24585
石川県,内灘町,null,20193
東京都,狛江市,null,58983
長崎県,長与町,null,31857
山形県,山辺町,null,11330
千葉県,流山市,null,122308
千葉県,大網白里町,null,37342
神奈川県,川崎市,宮前区,162710
